Title,Score
Raspberry Pi Lidar Scanner (github.com/pilidar),325
The Web Is Broken – Botnet Part 2 (wildeboer.net),253
A unique sound alleviates motion sickness (nagoya-u.ac.jp),65
The Art of Assembly Language (2010) (plantation-productions.com),76
Librarians are dangerous (bradmontague.substack.com),393
Show HN: I built an AI that turns GitHub codebases into easy tutorials (github.com/the-pocket),88
Ssl.com: DCV bypass and issue fake certificates for any MX hostname (bugzilla.mozilla.org),151
Electromagnetism as a Purely Geometric Theory (iop.org),64
Android phones will soon reboot themselves after sitting unused for three days (arstechnica.com),274
First baby born in UK to woman with transplanted womb (bbc.com),189
Welcome to the Era of Experience – By David Silver and Richard Sutton [pdf] (storage.googleapis.com),4
Monsky's Theorem (mathmondays.com),25
Claude Code: Best practices for agentic coding (anthropic.com),333
Packing Input Frame Context in Next-Frame Prediction Models for Video Generation (lllyasviel.github.io),227
Computational Complexity of Air Travel Planning [pdf] (demarcken.org),27
"Everyone knows your location, Part 2: try it yourself and share the results (timsh.org)",44
Vibe Coding is not an excuse for low-quality work (addyo.substack.com),130
Translate Fortran to C++ with AI and RAG (lanl.gov),16
The Animals That Exist Between Life and Death (nautil.us),52
Calypsi: A series of C compiler and assembly language cross compiler tool chains (github.com/hth313),6
Can We Trust CVE? (opensourcesecurity.io),13
"Silicon Valley crosswalk buttons apparently hacked to imitate Musk, Zuck voices (paloaltoonline.com)",267
Infisical (YC W23) Is Hiring Design Engineer in San Francisco (ycombinator.com),0
"Restoring the Galaxian3 Theatre 6, 1992 six player arcade machine (philwip.com)",197
I just got an ad in VS Code (postimg.cc),35
How to Write a Fast Matrix Multiplication from Scratch with Tensor Cores (2024) (alexarmbr.github.io),105
Consistent Hash Ring (selfboot.cn),48
A Map of British Dialects (2023) (starkeycomics.com),202
Show HN: Goldbach Conjecture up to 4*10^18+7*10^13 (medium.com/jay_gridbach),226
Ultrathink is a Claude Code a magic word (simonwillison.net),78
